,Description,Vente,Loc,Date_str,Date_iso,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error
30,"A large Cantagalli Iznik style pottery dish, Italy, 19th Century",Islamic and Indian Art Online Sale,London,13 August 2020,2020-08-13,81,['https://images1.bonhams.com/image?src=Images/live/2020-02/19/24922773-42-3.jpg'],Cantagalli,https://www.bonhams.com/auction/26256/lot/81/a-large-cantagalli-iznik-style-pottery-dish-italy-19th-century/,Bonhams,Bonhams_2020-08-13_81,['Bonhams_2020-08-13_81_01.jpg'],
31,,"The Contents of the Old Rectory, Banningham, Norfolk",,24 March 2004,2004-03-24,1814,['https://images1.bonhams.com/image?src=Images/live/2004-02/23/4141700-1210-1.jpg'],Cantagalli,https://www.bonhams.com/auctions/11166/lot/1814/,Bonhams,Bonhams_2004-03-24_1814,['Bonhams_2004-03-24_1814_01.jpg'],
32,,"The Contents of the Old Rectory, Banningham, Norfolk",,24 March 2004,2004-03-24,1794,['https://images1.bonhams.com/image?src=Images/live/2004-02/19/4141700-1089-1.jpg'],Cantagalli,https://www.bonhams.com/auctions/11166/lot/1794/,Bonhams,Bonhams_2004-03-24_1794,['Bonhams_2004-03-24_1794_01.jpg'],
33,"A Cantagalli Iznik style pottery Jug, Italy, late 19th Century",Islamic & Indian Art,Knightsbridge,15 January 2004,2004-01-15,56,['https://images1.bonhams.com/image?src=Images/live/2003-11/27/4123309-11-1.jpg'],Cantagalli,https://www.bonhams.com/auctions/10541/lot/56/,Bonhams,Bonhams_2004-01-15_56,['Bonhams_2004-01-15_56_01.jpg'],
34,"A large Cantagalli Iznik style pottery Dish, Italy, late 19th Century",Islamic & Indian Art,Knightsbridge,01 May 2003,2003-05-01,449,['https://images1.bonhams.com/image?src=Images/live/2003-04/16/5541934-7-1.jpg'],Cantagalli,https://www.bonhams.com/auction/10185/lot/449/a-large-cantagalli-iznik-style-pottery-dish-italy-late-19th-century/,Bonhams,Bonhams_2003-05-01_449,['Bonhams_2003-05-01_449_01.jpg'],
35,Cantagalli,Ceramic Design from 1860,Knightsbridge,22 September 2011,2011-09-22,234,['https://images1.bonhams.com/image?src=Images/live/2011-07/27/8264543-119-1.jpg'],Cantagalli,https://www.bonhams.com/auction/18933/lot/234/cantagalli-a-large-isnik-style-jug-circa-1900/,Bonhams,Bonhams_2011-09-22_234,['Bonhams_2011-09-22_234_01.jpg'],
36,Cantagalli,Ceramic Design from 1860,Knightsbridge,22 September 2011,2011-09-22,235,['https://images1.bonhams.com/image?src=Images/live/2011-07/27/8264543-134-1.jpg'],Cantagalli,https://www.bonhams.com/auction/18933/lot/235/cantagalli-a-pottery-isnik-style-teapot-and-cover-circa-1900/,Bonhams,Bonhams_2011-09-22_235,['Bonhams_2011-09-22_235_01.jpg'],
37,Cantagalli,Ceramic Design from 1860,Knightsbridge,22 September 2011,2011-09-22,236,['https://images1.bonhams.com/image?src=Images/live/2011-07/29/8264543-67-1.jpg'],Cantagalli,https://www.bonhams.com/auction/18933/lot/236/cantagalli-an-isnik-style-vase-circa-1900/,Bonhams,Bonhams_2011-09-22_236,['Bonhams_2011-09-22_236_01.jpg'],
38,ULISSE CANTAGALLI (1839-1901),The Martin Cohen Collection: Final Chapter,New York,08 October 2020,2020-10-08,180,"['https://images2.bonhams.com/image?src=Images/live/2020-08/26/24997693-19-1.jpg', 'https://images2.bonhams.com/image?src=Images/live/2020-10/01/24997693-19-2.jpg']",Cantagalli,https://www.bonhams.com/auction/26575/lot/180/spanish-hispano-moresque-vasecirca-1890-ceramic-hand-decorated-with-iridescent-glaze-blue-underglaze-mark-of-cockerel-and-92height-18-14in-465cm-width-13in-33cm/,Bonhams,Bonhams_2020-10-08_180,"['Bonhams_2020-10-08_180_01.jpg', 'Bonhams_2020-10-08_180_02.jpg']",
39,,20th Century Decorative Arts including Ceramic Design,Knightsbridge,24 April 2012,2012-04-24,40,['https://images1.bonhams.com/image?src=Images/live/2012-03/30/94399884-8-3.jpg'],Massier,https://www.bonhams.com/auction/20202/lot/40/clement-massier-an-impressive-jardinere-and-stand-in-the-isnik-taste-circa-1900/,Bonhams,Bonhams_2012-04-24_40,['Bonhams_2012-04-24_40_01.jpg'],
40,"Vilmos Zsolnay. Bouteille en céramique dans le style d'Iznik, Hongrie fin XIXe siècle, An Iznik style pottery bottle, Vilmos Zsolnay, Hungary, late 19th Century",Islamic and Indian Art: A Royal Collection,75008 Paris,06 April 2023,2023-04-06,110,"['https://images1.bonhams.com/image?src=Images/live/2023-03/22/25314152-23-3.jpg', 'https://images1.bonhams.com/image?src=Images/live/2023-03/22/25314152-23-2.jpg']",Zsolnay,https://www.bonhams.com/auction/28494/lot/110/vilmos-zsolnay-bouteille-en-ceramique-dans-le-style-diznik-hongrie-fin-xixe-siecle-an-iznik-style-pottery-bottle-vilmos-zsolnay-hungary-late-19th-century/,Bonhams,Bonhams_2023-04-06_110,"['Bonhams_2023-04-06_110_01.jpg', 'Bonhams_2023-04-06_110_02.jpg']",
41,A Zsolnay Pecs luster-glazed earthenware candlestick,Sunset Estate Auction,Los Angeles,18 September 2007,2007-09-18,7289,['https://images2.bonhams.com/image?src=Images/live/2007-07/12/7478545-5-1.JPG'],Zsolnay,https://www.bonhams.com/auction/15390/lot/7289/a-zsolnay-pecs-luster-glazed-earthenware-candlestick/,Bonhams,Bonhams_2007-09-18_7289,['Bonhams_2007-09-18_7289_01.jpg'],
42,A Zsolnay (Pecs) reticulated double-skinned ewer,Collectable Ceramics and Decorative Arts,Vicars Lane,21 August 2006,2006-08-21,394,['https://images1.bonhams.com/image?src=Images/live/2006-07/26/94308123-8-5.jpg'],Zsolnay,https://www.bonhams.com/auction/14076/lot/394/a-zsolnay-pecs-reticulated-double-skinned-ewer/,Bonhams,Bonhams_2006-08-21_394,['Bonhams_2006-08-21_394_01.jpg'],
43,A Zsolnay (Pecs) bottle vase,Collectable Ceramics and Decorative Arts,Vicars Lane,21 August 2006,2006-08-21,389,['https://images1.bonhams.com/image?src=Images/live/2006-07/26/94308466-2-5.jpg'],Zsolnay,https://www.bonhams.com/auction/14076/lot/389/a-zsolnay-pecs-bottle-vase/,Bonhams,Bonhams_2006-08-21_389,['Bonhams_2006-08-21_389_01.jpg'],
44,A Zsolnay (Pecs) reticulated double-skinned bottle vase,Collectable Ceramics and Decorative Arts,Vicars Lane,21 August 2006,2006-08-21,390,['https://images1.bonhams.com/image?src=Images/live/2006-07/26/94308123-123-5.jpg'],Zsolnay,https://www.bonhams.com/auction/14076/lot/390/a-zsolnay-pecs-reticulated-double-skinned-bottle-vase/,Bonhams,Bonhams_2006-08-21_390,['Bonhams_2006-08-21_390_01.jpg'],
45,,European Ceramics and Glass,Knightsbridge,24 May 2006,2006-05-24,354,['https://images1.bonhams.com/image?src=Images/live/2006-01/18/76636-33-1.JPG'],Zsolnay,https://www.bonhams.com/auction/13578/lot/354/a-zsolnay-pecs-gilt-metal-mounted-ewer-late-19th-century/,Bonhams,Bonhams_2006-05-24_354,['Bonhams_2006-05-24_354_01.jpg'],
46,"A Zsolnay Pecs, Hungarian Eastern-style ewer",Selected Art & Antiques,Vicars Lane,21 February 2011,2011-02-21,18,['https://images1.bonhams.com/image?src=Images/live/2010-11/01/94474463-1-1.jpg'],Zsolnay,https://www.bonhams.com/auction/18753/lot/18/a-zsolnay-pecs-hungarian-eastern-style-ewer/,Bonhams,Bonhams_2011-02-21_18,['Bonhams_2011-02-21_18_01.jpg'],
47,A Zsolnay Pecs lamp base,"Decorative Arts including Jewellery, Gordon Russell & Cotswold School Furniture",Knowle,07 June 2011,2011-06-07,395,['https://images1.bonhams.com/image?src=Images/live/2011-02/16/94482592-5-1.JPG'],Zsolnay,https://www.bonhams.com/auction/18846/lot/395/a-zsolnay-pecs-lamp-base/,Bonhams,Bonhams_2011-06-07_395,['Bonhams_2011-06-07_395_01.jpg'],
48,A Zsolnay Pecs glazed earthenware vaselate 19th century,Fine Furniture and Decorative Arts,Los Angeles,13 June 2012,2012-06-13,2392,['https://images2.bonhams.com/image?src=Images/live/2012-05/15/8540343-28-1.jpg'],Zsolnay,https://www.bonhams.com/auction/19999/lot/2392/a-zsolnay-pecs-glazed-earthenware-vase-late-19th-century/,Bonhams,Bonhams_2012-06-13_2392,['Bonhams_2012-06-13_2392_01.jpg'],
49,A Zsolnay Pecs charger,European Ceramics and Glass,Edinburgh,06 June 2013,2013-06-06,415,['https://images1.bonhams.com/image?src=Images/live/2013-05/02/94547435-3-1.jpg'],Zsolnay,https://www.bonhams.com/auction/21177/lot/415/a-zsolnay-pecs-charger-circa-1900/,Bonhams,Bonhams_2013-06-06_415,['Bonhams_2013-06-06_415_01.jpg'],
50,A Zsolnay Pecs luster glazed ceramic bottle form vase,20th Century Decorative Arts,New York,17 December 2010,2010-12-17,4129,['https://images2.bonhams.com/image?src=Images/live/2010-10/19/8194386-10-1.jpg'],Zsolnay,https://www.bonhams.com/auction/18409/lot/4129/a-zsolnay-pecs-luster-glazed-ceramic-bottle-form-vase-circa-1891-1895-shape-3917/,Bonhams,Bonhams_2010-12-17_4129,['Bonhams_2010-12-17_4129_01.jpg'],
51,"A Samson 'Iznik-style' pottery Ship Dish, France, 19th Century",Islamic & Indian Art,London,02 April 2009,2009-04-02,111,['https://images1.bonhams.com/image?src=Images/live/2009-01/20/94433191-4-1.jpg'],Samson,https://www.bonhams.com/auction/16776/lot/111/a-samson-iznik-style-pottery-ship-dish-france-19th-century/,Bonhams,Bonhams_2009-04-02_111,['Bonhams_2009-04-02_111_01.jpg'],
52,"Two Samson pottery Vessels, France, 19th Century",The Jacques Desenfans Collection,London,10 April 2008,2008-04-10,62,"['https://images1.bonhams.com/image?src=Images/live/2008-02/05/7601822-7-5.jpg', 'https://images1.bonhams.com/image?src=Images/live/2008-02/13/7601822-7-6.jpg']",Samson,https://www.bonhams.com/auction/16444/lot/62/two-samson-pottery-vessels-france-19th-century2/,Bonhams,Bonhams_2008-04-10_62,"['Bonhams_2008-04-10_62_01.jpg', 'Bonhams_2008-04-10_62_02.jpg']",
53,"A tall Samson 'Kutahya-style' pottery Ewer, France, 19th Century",Islamic and Indian Art,London,10 April 2008,2008-04-10,259,['https://images1.bonhams.com/image?src=Images/live/2008-02/13/7615524-18-1.jpg'],Samson,https://www.bonhams.com/auction/16221/lot/259/a-tall-samson-kutahya-style-pottery-ewer-france-19th-century/,Bonhams,Bonhams_2008-04-10_259,['Bonhams_2008-04-10_259_01.jpg'],
54,"A large Samson Iznik-style pottery Bowl, France, 19th Century",Islamic and Indian Art,London,25 October 2007,2007-10-25,189,['https://images1.bonhams.com/image?src=Images/live/2007-06/21/94334530-1-1.jpg'],Samson,https://www.bonhams.com/auction/15335/lot/189/a-large-samson-iznik-style-pottery-bowl-france-19th-century/,Bonhams,Bonhams_2007-10-25_189,['Bonhams_2007-10-25_189_01.jpg'],
55,"A pair of large Samson Iznik style pottery Bottles, France, 19th Century",Islamic and Indian Art,London,25 October 2007,2007-10-25,190,['https://images1.bonhams.com/image?src=Images/live/2007-08/17/94342064-1-1.jpg'],Samson,https://www.bonhams.com/auction/15335/lot/190/a-pair-of-large-samson-iznik-style-pottery-bottles-france-19th-century2/,Bonhams,Bonhams_2007-10-25_190,['Bonhams_2007-10-25_190_01.jpg'],
56,"A large Samson Iznik style pottery Ewer, France, late 19th Century",Islamic & Indian Art,London,19 April 2007,2007-04-19,217,['https://images1.bonhams.com/image?src=Images/live/2006-12/11/94289204-1-1.jpg'],Samson,https://www.bonhams.com/auction/15257/lot/217/a-large-samson-iznik-style-pottery-ewer-france-late-19th-century/,Bonhams,Bonhams_2007-04-19_217,['Bonhams_2007-04-19_217_01.jpg'],
57,"A Samson Delft style oval jardiniere, late 19th century",European Ceramics and Glass,Knightsbridge,20 September 2006,2006-09-20,567,['https://images1.bonhams.com/image?src=Images/live/2006-08/23/7289525-11-2.JPG'],Samson,https://www.bonhams.com/auction/13614/lot/567A/a-samson-delft-style-oval-jardiniere-late-19th-century/,Bonhams,Bonhams_2006-09-20_567,['Bonhams_2006-09-20_567_01.jpg'],
58,"A Samson Iznik style pottery ewer, France, 19th Century",Islamic and Indian Art,London,22 May 2025,2025-05-22,57,"['https://images1.bonhams.com/image?src=Images/live/2025-04/02/25675462-10-1.jpg', 'https://images1.bonhams.com/image?src=Images/live/2025-04/02/25675462-10-2.jpg', 'https://images1.bonhams.com/image?src=Images/live/2025-04/17/25675462-10-3.jpg']",Samson,https://www.bonhams.com/auction/30703/lot/57/a-samson-iznik-style-pottery-ewer-france-19th-century/,Bonhams,Bonhams_2025-05-22_57,"['Bonhams_2025-05-22_57_01.jpg', 'Bonhams_2025-05-22_57_02.jpg', 'Bonhams_2025-05-22_57_03.jpg']",
59,"An Iznik ""Fishscale"" composite pottery Jug, Turkey, the base circa 1570, the neck with 19th Century French restoration, probably by Samson",Islamic and Indian Art,London,24 April 2012,2012-04-24,102,['https://images1.bonhams.com/image?src=Images/live/2012-03/05/8513242-18-2.jpg'],Samson,https://www.bonhams.com/auction/19960/lot/102/an-iznik-fishscale-composite-pottery-jug-turkey-the-base-circa-1570-the-neck-with-19th-century-french-restoration-probably-by-samson/,Bonhams,Bonhams_2012-04-24_102,['Bonhams_2012-04-24_102_01.jpg'],
60,A Samson or famille verte baluster vase,Asian Art,Knightsbridge,04 November 2013,2013-11-04,342,['https://images1.bonhams.com/image?src=Images/live/2013-09/17/8835457-1-1.jpg'],Samson,https://www.bonhams.com/auction/20792/lot/342/a-samson-or-famille-verte-baluster-vase-19th-century/,Bonhams,Bonhams_2013-11-04_342,['Bonhams_2013-11-04_342_01.jpg'],
61,"A Samson Iznik style porcelain Covered Bowl, France, late 19th Century",Islamic & Indian Art,Knightsbridge,05 November 2014,2014-11-05,178,"['https://images1.bonhams.com/image?src=Images/live/2023-04/24/8441697-3-2.jpg', 'https://images1.bonhams.com/image?src=Images/live/2023-04/24/8441697-3-3.jpg']",Samson,https://www.bonhams.com/auction/22524/lot/178/a-samson-iznik-style-porcelain-covered-bowl-france-late-19th-century2/,Bonhams,Bonhams_2014-11-05_178,"['Bonhams_2014-11-05_178_01.jpg', 'Bonhams_2014-11-05_178_02.jpg']",
62,"A Samson Iznik style porcelain Flask (surahi) with animal decoration, France, mid 19th Century",Islamic and Indian Art,Knightsbridge,09 June 2015,2015-06-09,253,['https://images1.bonhams.com/image?src=Images/live/2012-07/31/8552514-1-1.jpg'],Samson,https://www.bonhams.com/auction/22851/lot/253/a-samson-iznik-style-porcelain-flask-surahi-with-animal-decoration-france-mid-19th-century/,Bonhams,Bonhams_2015-06-09_253,['Bonhams_2015-06-09_253_01.jpg'],
63,"Two Samson Iznik style porcelain Jugs, France, 19th Century",Islamic and Indian Art,London,19 April 2016,2016-04-19,155,"['https://images1.bonhams.com/image?src=Images/live/2016-03/02/94608596-1-1.jpg', 'https://images1.bonhams.com/image?src=Images/live/2016-03/09/94608596-1-2.jpg']",Samson,https://www.bonhams.com/auction/23436/lot/155/two-samson-iznik-style-porcelain-jugs-france-19th-century2/,Bonhams,Bonhams_2016-04-19_155,"['Bonhams_2016-04-19_155_01.jpg', 'Bonhams_2016-04-19_155_02.jpg']",
64,"Three Samson Iznik style porcelain dishes, France, 19th Century",Islamic and Indian Art including Modern and Contemporary South Asian Art,London,23 October 2017,2017-10-23,136,['https://images1.bonhams.com/image?src=Images/live/2017-08/07/94551945-4-1.jpg'],Samson,https://www.bonhams.com/auction/24198/lot/136/three-samson-iznik-style-porcelain-dishes-france-19th-century3/,Bonhams,Bonhams_2017-10-23_136,['Bonhams_2017-10-23_136_01.jpg'],
65,A pair of Samson Safavid style porcelain vases,Asian Art,Edinburgh,05 December 2017,2017-12-05,141,['https://images1.bonhams.com/image?src=Images/live/2017-03/09/94523067-1-1.jpg'],Samson,https://www.bonhams.com/auction/24091/lot/141/a-pair-of-samson-safavid-style-porcelain-vases-paris-19th-century-2/,Bonhams,Bonhams_2017-12-05_141,['Bonhams_2017-12-05_141_01.jpg'],
66,"A Samson Iznik style porcelain 'grape dish', France, 19th Century",Islamic and Indian Art including Modern and Contemporary South Asian Art,London,24 April 2018,2018-04-24,258,['https://images1.bonhams.com/image?src=Images/live/2018-03/07/24743593-7-1.jpg'],Samson,https://www.bonhams.com/auction/24623/lot/258/a-samson-iznik-style-porcelain-grape-dish-france-19th-century/,Bonhams,Bonhams_2018-04-24_258,['Bonhams_2018-04-24_258_01.jpg'],
67,"A Samson Iznik style porcelain water bottle (surahi), Paris, 19th Century",Islamic and Indian Art including Modern and Contemporary South Asian Art,London,24 April 2018,2018-04-24,261,['https://images1.bonhams.com/image?src=Images/live/2018-03/07/24743593-6-1.jpg'],Samson,https://www.bonhams.com/auction/24623/lot/261/a-samson-iznik-style-porcelain-water-bottle-surahi-paris-19th-century/,Bonhams,Bonhams_2018-04-24_261,['Bonhams_2018-04-24_261_01.jpg'],
68,"A large Samson Iznik style porcelain bowl, France, 19th Century",Islamic and Indian Art including Modern and Contemporary South Asian Art,London,24 April 2018,2018-04-24,260,['https://images1.bonhams.com/image?src=Images/live/2018-02/28/94610046-1-1.jpg'],Samson,https://www.bonhams.com/auction/24623/lot/260/a-large-samson-iznik-style-porcelain-bowl-france-19th-century/,Bonhams,Bonhams_2018-04-24_260,['Bonhams_2018-04-24_260_01.jpg'],
69,"A Samson Iznik style porcelain Flask (surahi) with animal decoration, France, 19th Century","Islamic and Indian Art Including The Lion and the Sun, Art from Qajar Persia",London,30 April 2019,2019-04-30,36,['https://images1.bonhams.com/image?src=Images/live/2019-03/01/24847271-8-1.jpg'],Samson,https://www.bonhams.com/auction/25434/lot/36/a-samson-iznik-style-porcelain-flask-surahi-with-animal-decoration-france-19th-century/,Bonhams,Bonhams_2019-04-30_36,['Bonhams_2019-04-30_36_01.jpg'],
70,"A pair of Samson Iznik style porcelain water flasks (surahi), France, 19th Century","Islamic and Indian Art Including The Lion and the Sun, Art from Qajar Persia",London,30 April 2019,2019-04-30,38,['https://images1.bonhams.com/image?src=Images/live/2018-09/03/24794402-2-1.jpg'],Samson,https://www.bonhams.com/auction/25434/lot/38/a-pair-of-samson-iznik-style-porcelain-water-flasks-surahi-france-19th-century2/,Bonhams,Bonhams_2019-04-30_38,['Bonhams_2019-04-30_38_01.jpg'],
71,"Five watercolour designs for Iznik style vessels from the Samson Factory, Paris, 19th Century","Islamic and Indian Art Including The Lion and the Sun, Art from Qajar Persia",London,30 April 2019,2019-04-30,37,"['https://images1.bonhams.com/image?src=Images/live/2019-02/15/24847271-12-1.jpg', 'https://images1.bonhams.com/image?src=Images/live/2019-02/18/24847271-12-5.jpg', 'https://images1.bonhams.com/image?src=Images/live/2019-02/18/24847271-12-4.jpg', 'https://images1.bonhams.com/image?src=Images/live/2019-02/18/24847271-12-3.jpg', 'https://images1.bonhams.com/image?src=Images/live/2019-02/15/24847271-12-2.jpg']",Samson,https://www.bonhams.com/auction/25434/lot/37/five-watercolour-designs-for-iznik-style-vessels-from-the-samson-factory-paris-19th-century5/,Bonhams,Bonhams_2019-04-30_37,"['Bonhams_2019-04-30_37_01.jpg', 'Bonhams_2019-04-30_37_02.jpg', 'Bonhams_2019-04-30_37_03.jpg', 'Bonhams_2019-04-30_37_04.jpg', 'Bonhams_2019-04-30_37_05.jpg']",
72,"A Samson Kutahya style porcelain inkwell, France, 19th Century",Islamic and Indian Art including Modern and Contemporary South Asian Art,London,04 December 2019,2019-12-04,42,['https://images1.bonhams.com/image?src=Images/live/2019-10/03/24888101-1-1.jpg'],Samson,https://www.bonhams.com/auction/25585/lot/42/a-samson-kutahya-style-porcelain-inkwell-france-19th-century/,Bonhams,Bonhams_2019-12-04_42,['Bonhams_2019-12-04_42_01.jpg'],
