,Description,Vente,Loc,Date_iso,Date_str,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error,url
32,"A SAMSON IZNIK-INSPIRED POTTERY EWER, FRANCE, 19TH CENTURY",Arts of the Islamic World & India including Fine Rugs and Carpets,London,2020-10-27,27 October 2020,508,"['https://sothebys-md.brightspotcdn.com/dims4/default/5ffaeeb/2147483647/strip/true/crop/1293x2000+0+0/resize/2048x3168!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F9a%2F50%2F2b76c5c54692abf75adeefec2cd3%2F111l20223-bn7s3-01.jpg', 'https://sothebys-md.brightspotcdn.com/dims4/default/fa1fb08/2147483647/strip/true/crop/1500x2000+0+0/resize/2048x2731!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F98%2F15%2F521085684d788e6f0f42db48c9d4%2F111l20223-bn7s3-02.jpg']",Samson,https://www.sothebys.com/en/buy/auction/2020/arts-of-the-islamic-world-india-including-fine-rugs-and-carpets/a-samson-iznik-inspired-pottery-ewer-france-19th,Sothebys,Sothebys_2020-10-27_508,"['Sothebys_2020-10-27_508_01.jpg', 'Sothebys_2020-10-27_508_02.jpg']",,
33,"AN UNUSUAL SAMSON IZNIK-STYLE POTTERY CANDLESTICK, FRANCE, 19TH CENTURY",Arts of the Islamic World & India including Fine Rugs and Carpets,London,2020-10-27,27 October 2020,516,"['https://sothebys-md.brightspotcdn.com/dims4/default/17bfeb7/2147483647/strip/true/crop/1483x2000+0+0/resize/2048x2762!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F0f%2Fad%2F6313e6ab4c688f5dc3289c80c392%2F020l20223-bk7z4-2-wht.jpg', 'https://sothebys-md.brightspotcdn.com/dims4/default/6af852a/2147483647/strip/true/crop/1500x2000+0+0/resize/2048x2731!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2Fd2%2Fb6%2F61aeb0bd404aac691156a3362187%2F020l20223-bk7z4-1.jpg', 'https://sothebys-md.brightspotcdn.com/dims4/default/0ac2d92/2147483647/strip/true/crop/1500x2000+0+0/resize/2048x2731!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F1c%2F34%2F7af0d8f345abbac8042dfe48be16%2F020l20223-bk7z4-3.jpg']",Samson,https://www.sothebys.com/en/buy/auction/2020/arts-of-the-islamic-world-india-including-fine-rugs-and-carpets/an-unusual-samson-iznik-style-pottery-candlestick,Sothebys,Sothebys_2020-10-27_516,"['Sothebys_2020-10-27_516_01.jpg', 'Sothebys_2020-10-27_516_02.jpg', 'Sothebys_2020-10-27_516_03.jpg']",,
34,"A LARGE SAMSON IZNIK-STYLE POTTERY JUG, FRANCE, 19TH CENTURY",Arts of the Islamic World & India including Fine Rugs & Carpets,London,2020-06-10,10 June 2020,229,['https://sothebys-md.brightspotcdn.com/dims4/default/3809f73/2147483647/strip/true/crop/1458x2000+0+0/resize/2048x2809!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F09%2F33%2F20583f7b476d9a26924d55750cc7%2F187l20220-bhbrs.jpg'],Samson,https://www.sothebys.com/en/buy/auction/2020/arts-of-the-islamic-world-india-including-fine-rugs-carpets/a-large-samson-iznik-style-pottery-jug-france-19th,Sothebys,Sothebys_2020-06-10_229,['Sothebys_2020-06-10_229_01.jpg'],,
35,"A SAMSON PORCELAIN IZNIK-STYLE BASIN, FRANCE, LATE 19TH CENTURY |",Arts of the Islamic World,London,2018-10-24,24 October 2018,255,['https://sothebys-com.brightspotcdn.com/dims4/default/0785894/2147483647/strip/true/crop/2000x1395+0+0/resize/2880x2010!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fdotcom%2Fe9%2F19%2F19%2Fd77b2d2cc26e9536bbe82403a249937d955ffd79a88d810622c6a14bf4%2F095l18223-9xdwm.jpg'],Samson,https://www.sothebys.com/en/auctions/ecatalogue/2018/arts-of-the-islamic-world-l18223/lot.255.html,Sothebys,Sothebys_2018-10-24_255,['Sothebys_2018-10-24_255_01.jpg'],,
36,"A NEAR PAIR OF SAMSON PORCELAIN IZNIK-STYLE BOTTLE VASES, FRANCE, LATE 19TH CENTURY |",Arts of the Islamic World,London,2018-10-24,24 October 2018,235,['https://sothebys-com.brightspotcdn.com/dims4/default/464fddd/2147483647/strip/true/crop/1861x2000+0+0/resize/2880x3093!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fdotcom%2F96%2F1d%2F19%2Fa29f986ea79a864c626e20f588ffcfab32322d760411351691167d7f76%2F082l18223-9xbt2.jpg'],Samson,https://www.sothebys.com/en/auctions/ecatalogue/2018/arts-of-the-islamic-world-l18223/lot.235.html,Sothebys,Sothebys_2018-10-24_235,['Sothebys_2018-10-24_235_01.jpg'],,
37,"A pair of Samson faience bottle vases, circa 1870-1900",An Italian Aristocratic CollectionF&amp;D S/O Sale,London,2015-12-08,08 December 2015,103,['https://sothebys-com.brightspotcdn.com/dims4/default/7bac2ac/2147483647/strip/true/crop/1890x2000+0+0/resize/2880x3047!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Faf%2F8a%2F97%2Ffd44e32357edc3d8759b31ccecf9da6c03b29de788c902ae9fbed12ef0%2F509l15322-886jz.jpg'],Samson,https://www.sothebys.com/en/auctions/ecatalogue/2015/italian-aristocratic-collection-l15322/lot.103.html,Sothebys,Sothebys_2015-12-08_103,['Sothebys_2015-12-08_103_01.jpg'],,
38,A PAIR OF SAMSON PORCELAIN IZNIK-STYLE VASES LATE 19TH CENTURY,S/O Astor,New York,2012-09-24,24 September 2012,545,['https://sothebys-com.brightspotcdn.com/dims4/default/f0cb94f/2147483647/strip/true/crop/1976x2000+0+0/resize/2880x2916!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F5b%2F13%2F81%2F1b16d1ca169db3e28b73ac544dffe1d4890d8b8ff92836f86c896e7020%2F1575n08890-5lqds.jpg'],Samson,https://www.sothebys.com/en/auctions/ecatalogue/2012/property-from-the-estate-of-brooke-astor-n08890/lot.545.html,Sothebys,Sothebys_2012-09-24_545,['Sothebys_2012-09-24_545_01.jpg'],,
39,,,,,,,,,,,,,Invalid URL '': No scheme supplied. Perhaps you meant https://?,https://www.sothebys.com/en/auctions/ecatalogue/2005/exotica-sale-l05223/lot.221.html
40," A MONUMENTAL IZNIK-STYLE VASE, BOCH FRÈRES KERAMIS, BELGIUM, 19TH/20TH CENTURY",Arts of the Islamic World & India including Fine Rugs and Carpets,London,2020-10-27,27 October 2020,511,"['https://sothebys-md.brightspotcdn.com/dims4/default/c790998/2147483647/strip/true/crop/1518x2000+0+0/resize/2048x2698!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F1c%2Fc9%2F07078a0d41ad85dd73192e6a5ecf%2Fl20223-bn7s4-01.jpg', 'https://sothebys-md.brightspotcdn.com/dims4/default/b1bcf9c/2147483647/strip/true/crop/1333x2000+0+0/resize/2048x3073!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot.s3.amazonaws.com%2Fmedia-desk%2F22%2F11%2F72ccdf1e454d82f08afcb25806ec%2Fl20223-bn7s4-02.jpg']",Boch Frères Keramis,https://www.sothebys.com/en/buy/auction/2020/arts-of-the-islamic-world-india-including-fine-rugs-and-carpets/a-monumental-iznik-style-vase-boch-freres-keramis,Sothebys,Sothebys_2020-10-27_511,"['Sothebys_2020-10-27_511_01.jpg', 'Sothebys_2020-10-27_511_02.jpg']",,
41,"Cache-pot en faÏence de Keramis, Belgique, début du XXe siècle",Orientalist Sale,Paris,2007-10-24,24 October 2007,141,['https://sothebys-com.brightspotcdn.com/dims4/default/2da73f1/2147483647/strip/true/crop/2000x2000+0+0/resize/2880x2880!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F5e%2F30%2Fdd%2Fac5dd9eb833ba2ccf5a67ea797fcf2dd6d4c1612313207a9105e912dc6%2Fpf7023-141-lr-1.jpg'],Boch Frères Keramis,https://www.sothebys.com/en/auctions/ecatalogue/2007/orientalist-sale-pf7023/lot.141.html,Sothebys,Sothebys_2007-10-24_141,['Sothebys_2007-10-24_141_01.jpg'],,
