,Description,Vente,Loc,Date_iso,Date_str,Lot,Img_urls,Auteur,Url_lot,Maison_encheres,Id,Fichiers_img,error,url
51,"ANDRÉ METTHEY (1871-1920); VASE BALUSTRE AUX BICHES, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,380,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0380_000(andre_metthey_vase_balustre_aux_biches_vers_1910-1920122623).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957746,Christies,Christies_2015-11-23_380,['Christies_2015-11-23_380_01.jpg'],,
52,"ANDRÉ METTHEY (1871-1920); PAIRE DE VASES BALUSTRES AUX MARGUERITES, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,386,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0386_000(andre_metthey_paire_de_vases_balustres_aux_marguerites_vers_1910-1920122750).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957752,Christies,Christies_2015-11-23_386,['Christies_2015-11-23_386_01.jpg'],,
53,"ANDRÉ METTHEY (1871-1920); COUPE SUR PIÉDOUCHE AUX LIÈVRES ET ESCARGOTS, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,291,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0291_000(andre_metthey_coupe_sur_piedouche_aux_lievres_et_escargots_vers_1910-1120357).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957657,Christies,Christies_2015-11-23_291,['Christies_2015-11-23_291_01.jpg'],,
54,"ANDRÉ METTHEY (1871-1920); AMPHORE COUVERTE, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,360,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0360_000(andre_metthey_amphore_couverte_vers_1910-1920122128).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957726,Christies,Christies_2015-11-23_360,['Christies_2015-11-23_360_01.jpg'],,
55,"ANDRÉ METTHEY (1871-1920); VASE BOUTEILLE AUX PERSONNAGES, VERS 1920",Design vente du soir,Paris,2015-11-23,23 November 2015,355,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0355_000(andre_metthey_vase_bouteille_aux_personnages_vers_1920122013).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957721,Christies,Christies_2015-11-23_355,['Christies_2015-11-23_355_01.jpg'],,
56,"ANDRÉ METTHEY (1871-1920); VASE BALUSTRE AUX PERSONNAGES ET ANIMAUX, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,312,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0312_000(andre_metthey_vase_balustre_aux_personnages_et_animaux_vers_1910-1920120854).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957678,Christies,Christies_2015-11-23_312,['Christies_2015-11-23_312_01.jpg'],,
57,"ANDRÉ METTHEY (1871-1920); VASE BALUSTRE SUR PIÉDOUCHE, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,316,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0316_000(andre_metthey_vase_balustre_sur_piedouche_vers_1910-1920120948).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957682,Christies,Christies_2015-11-23_316,['Christies_2015-11-23_316_01.jpg'],,
58,"ANDRÉ METTHEY (1871-1920); COUPE À L'ENLÈVEMENT DES SABINES, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,336,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0336_000(andre_metthey_coupe_a_lenlevement_des_sabines_vers_1910-1920121431).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957702,Christies,Christies_2015-11-23_336,['Christies_2015-11-23_336_01.jpg'],,
59,"ANDRÉ METTHEY (1871-1920); VASE AUX OISEAUX, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,381,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0381_000(andre_metthey_vase_aux_oiseaux_vers_1910-1920122640).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957747,Christies,Christies_2015-11-23_381,['Christies_2015-11-23_381_01.jpg'],,
60,"ANDRÉ METTHEY (1871-1920); PETIT VASE BALUSTRE, VERS 1910-1920",Design vente du soir,Paris,2015-11-23,23 November 2015,385,['https://www.christies.com/img/LotImages/2015/PAR/2015_PAR_04043_0385_000(andre_metthey_petit_vase_balustre_vers_1910-1920122734).jpg'],Metthey,https://www.christies.com/en/lot/lot-5957751,Christies,Christies_2015-11-23_385,['Christies_2015-11-23_385_01.jpg'],,
