titre	auteur	date	technique	lien	system_id	localisation	num_inventaire	image_url
Plat aux écailles vertes et bleues atténuées de fleurons			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502379	04-502379	Ecouen, musée national de la Renaissance	E.Cl.9572	https://images.grandpalaisrmn.fr/thumb.php/00587261.jpg?ID=993808
"Plat dit au ""jeune homme à la lettre"""			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-501820	04-501820	Ecouen, musée national de la Renaissance	E.Cl.8374	https://images.grandpalaisrmn.fr/thumb.php/00584189.jpg?ID=1416945
Plat à la rosace sur fond de spirales			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501883	04-501883	Ecouen, musée national de la Renaissance	E.Cl.8230	https://images.grandpalaisrmn.fr/thumb.php/00582660.jpg?ID=1461144
Plat aux quatre fleurs entrelacées			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/05-527339	05-527339	Ecouen, musée national de la Renaissance	E.Cl.8180	https://images.grandpalaisrmn.fr/thumb.php/00581132.jpg?ID=1510750
Grand plat aux lambrequins sur fond bleu lavande et marli rouge			siliceous ceramics,glaze,painted,200407, siliceous ceramics, glaze, painted, 200407	https://images.grandpalaisrmn.fr/ark:/36255/05-527348	05-527348	Ecouen, musée national de la Renaissance	E.Cl.8550	https://images.grandpalaisrmn.fr/thumb.php/00579593.jpg?ID=264587
Plat à décor rayonnant aux trois rosettes			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502001	04-502001	Ecouen, musée national de la Renaissance	E.Cl.8251	https://images.grandpalaisrmn.fr/thumb.php/00576411.jpg?ID=1459461
Plat au médaillon et aux huit niches			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501992	04-501992	Ecouen, musée national de la Renaissance	E.Cl.8242	https://images.grandpalaisrmn.fr/thumb.php/00574872.jpg?ID=594030
Plat au bouquet entre deux feuilles saz et branches fleuries			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501264	04-501264	Ecouen, musée national de la Renaissance	E.Cl.8207	https://images.grandpalaisrmn.fr/thumb.php/00567150.jpg?ID=263610
Plat au lambrequin			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502261	04-502261	Ecouen, musée national de la Renaissance	E.Cl.8284	https://images.grandpalaisrmn.fr/thumb.php/00567147.jpg?ID=680038
Plat aux sept bouquets			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502198	04-502198	Ecouen, musée national de la Renaissance	E.Cl.8125	https://images.grandpalaisrmn.fr/thumb.php/00565597.jpg?ID=271451
Plat aux cinq oeillets et petits lambrequins			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-501201	04-501201	Ecouen, musée national de la Renaissance	E.Cl.8113	https://images.grandpalaisrmn.fr/thumb.php/00565585.jpg?ID=1342637
Plat à décor de quatre animaux sur fond bleu			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501784	04-501784	Ecouen, musée national de la Renaissance	E.Cl.8358	https://images.grandpalaisrmn.fr/thumb.php/00562505.jpg?ID=1121618
Plat à décor de barques à la voile déployée			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-501766	04-501766	Ecouen, musée national de la Renaissance	E.Cl.8353	https://images.grandpalaisrmn.fr/thumb.php/00557854.jpg?ID=1121625
Plat à décor de galère à deux mâts et sept paires de rames			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501757	04-501757	Ecouen, musée national de la Renaissance	E.Cl.8346	https://images.grandpalaisrmn.fr/thumb.php/00554777.jpg?ID=1092383
Plat à décor rayonnant			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-501381	04-501381	Ecouen, musée national de la Renaissance	E.Cl.9591	https://images.grandpalaisrmn.fr/thumb.php/00545478.jpg?ID=254118
Plat aux quatre lambrequins			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502378	04-502378	Ecouen, musée national de la Renaissance	E.Cl.9421	https://images.grandpalaisrmn.fr/thumb.php/00545446.jpg?ID=1311612
Pichet aux animaux			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502369	04-502369	Ecouen, musée national de la Renaissance	E.Cl.9287	https://images.grandpalaisrmn.fr/thumb.php/00543914.jpg?ID=291984
Petit plat au			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-501372	04-501372	Ecouen, musée national de la Renaissance	E.Cl.9579	https://images.grandpalaisrmn.fr/thumb.php/00543911.jpg?ID=603499
Plat à grand bouquet symétrique			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502333	04-502333	Ecouen, musée national de la Renaissance	E.Cl.8503	https://images.grandpalaisrmn.fr/thumb.php/00542383.jpg?ID=273605
Plat à la grande palme			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-501336	04-501336	Ecouen, musée national de la Renaissance	E.CL.8469	https://images.grandpalaisrmn.fr/thumb.php/00542380.jpg?ID=731717
Plat à la tulipe et quatre branches fleuries de jacinthes			glaze,siliceous ceramics,painted, glaze, siliceous ceramics, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502315	04-502315	Ecouen, musée national de la Renaissance	E.Cl.8458	https://images.grandpalaisrmn.fr/thumb.php/00540864.jpg?ID=1457447
Plat au sept oeillets à marli bleu			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501318	04-501318	Ecouen, musée national de la Renaissance	E.Cl.8428	https://images.grandpalaisrmn.fr/thumb.php/00540832.jpg?ID=924541
Plat à la rosace et au médaillon sur fond de spirales en réserve			glaze,painted,siliceous ceramics, glaze, painted, siliceous ceramics	https://images.grandpalaisrmn.fr/ark:/36255/04-501919	04-501919	Ecouen, musée national de la Renaissance	E.Cl.8511	https://images.grandpalaisrmn.fr/thumb.php/00537764.jpg?ID=1098822
Plat au grand buisson fleuri			siliceous ceramics,painted,glaze, siliceous ceramics, painted, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-501973	04-501973	Ecouen, musée national de la Renaissance	ECL8129	https://images.grandpalaisrmn.fr/thumb.php/00536231.jpg?ID=1057024
Plat au médaillon vert sur fond de spirales			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-501902	04-501902	Ecouen, musée national de la Renaissance	E.Cl.8292	https://images.grandpalaisrmn.fr/thumb.php/00534691.jpg?ID=1451191
Plat à décor çintemanni			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502018	04-502018	Ecouen, musée national de la Renaissance	E.Cl.8277	https://images.grandpalaisrmn.fr/thumb.php/00528562.jpg?ID=1035325
Plat aux trois tulipes bleues et trois roses			siliceous ceramics,glaze,painted, siliceous ceramics, glaze, painted	https://images.grandpalaisrmn.fr/ark:/36255/04-502063	04-502063	Ecouen, musée national de la Renaissance	E.Cl.8111	https://images.grandpalaisrmn.fr/thumb.php/00527024.jpg?ID=1451228
Plat à la rosace sur fond de spirales			painted,siliceous ceramics,glaze, painted, siliceous ceramics, glaze	https://images.grandpalaisrmn.fr/ark:/36255/04-502010	04-502010	Ecouen, musée national de la Renaissance	E.Cl.8265	https://images.grandpalaisrmn.fr/thumb.php/00525434.jpg?ID=481009
