Titre	Auteur	Date	Description	Technique	Lien	Institution	Ville	Num_inventaire	Image_urls
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_8755	Museum für angewandte Kunst	Vienne	KE 1540-3	https://mak-media.azureedge.net/l/1a44b4a1f35036ebb2dcb2b4814b81be.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19504	Museum für angewandte Kunst	Vienne	KE 1540-9	https://mak-media.azureedge.net/l/962b99a879edb2493d4b29d5e5cc5954.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19505	Museum für angewandte Kunst	Vienne	KE 1540-10	https://mak-media.azureedge.net/l/9560c9aa4e95c015238124763a94261a.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19506	Museum für angewandte Kunst	Vienne	KE 1540-11	https://mak-media.azureedge.net/xl/162f50981ed6aebf29b228f4d03d32ce.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19507	Museum für angewandte Kunst	Vienne	KE 1540-12	https://mak-media.azureedge.net/l/ba89359a17d2735d141b1a75edbf9849.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19508	Museum für angewandte Kunst	Vienne	KE 1540-13	https://mak-media.azureedge.net/l/40703c80d9b5c21f83d0c3a7177f4a89.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19510	Museum für angewandte Kunst	Vienne	KE 1540-15	https://mak-media.azureedge.net/l/7e8dbe3f0ff3089a1411adf4f3b498be.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19511	Museum für angewandte Kunst	Vienne	KE 1540-16	https://mak-media.azureedge.net/l/08281762b4887effffefcd87054270be.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19512	Museum für angewandte Kunst	Vienne	KE 1540-17	https://mak-media.azureedge.net/l/46c4c1604424dd2f434070de8ead3b4e.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19513	Museum für angewandte Kunst	Vienne	KE 1540-18	https://mak-media.azureedge.net/l/794004c063f4350f10b63929a9782452.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_8757	Museum für angewandte Kunst	Vienne	KE 1540-6	https://mak-media.azureedge.net/l/c45af5a3846a585b86578051d1646d0d.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_8759	Museum für angewandte Kunst	Vienne	KE 1540-7	https://mak-media.azureedge.net/l/cccc4a5d4d54cfe676eec595e207aca9.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19503	Museum für angewandte Kunst	Vienne	KE 1540-8	https://mak-media.azureedge.net/l/5f6c726cd7add39f41bd4a881e15edbf.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_19509	Museum für angewandte Kunst	Vienne	KE 1540-14	https://mak-media.azureedge.net/l/bcddcaedaaa42fed740d82bb8a403d1f.jpg
Carreau	Parvillée	v. 1867?	Carreau de revêtement pour fontaine murale	Céramique	https://sammlung.mak.at/en/collect/verkleidung-fuer-einen-wandbrunnen_8756	Museum für angewandte Kunst	Vienne	KE 1540-5	https://mak-media.azureedge.net/l/9fd47ca36dd8101504828d18def2f6ec.jpg
Carreau	Parvillée		Carreau	Faïence	https://sammlung.mak.at/en/collect/tile_8763	Museum für angewandte Kunst	Vienne	KE 1541-5	https://mak-media.azureedge.net/l/3ecbf1e9235e3143686a2cc459ec34f1.jpg
Carreau	Parvillée		Carreau	Céramique	https://sammlung.mak.at/en/collect/tile_8761	Museum für angewandte Kunst	Vienne	KE 1541-3	https://mak-media.azureedge.net/xl/ab3af2751e6ad1ac4536100f1c6c5fe6.jpg; https://mak-media.azureedge.net/xl/b98b7054fcd4082b8fc3613e4632935a.jpg
Carreau	Parvillée		Carreau	Grès glaçuré	https://sammlung.mak.at/en/collect/tile_8765	Museum für angewandte Kunst	Vienne	KE 1549	https://mak-media.azureedge.net/l/c3063fafe801464c8875d563942e44a8.jpg
Carreau	Parvillée		Carreau	Terre cuite glaçurée	https://sammlung.mak.at/en/collect/tile_19502	Museum für angewandte Kunst	Vienne	 KE 1541-7	https://mak-media.azureedge.net/l/cd08472b6e814e77ac8237f846124db3.jpg
Vase Alhambra	Deck, Théodore	1890	Vase	Grès glaçuré	https://sammlung.mak.at/en/collect/vase_13500	Museum für angewandte Kunst	Vienne	KE 3702	https://mak-media.azureedge.net/l/28cbb0688a0a7175cee4036161a4e8e8.jpg; https://mak-media.azureedge.net/l/987c81b4a2fd4f997dc60d29e4300b3c.jpg; https://mak-media.azureedge.net/l/71769eda19363b6472923f106811ab7c.jpg; https://mak-media.azureedge.net/l/be7bd2ba3e2d34efd03819757b753823.jpg
Carreau	Deck, Théodore		Carreau	Faïence	https://sammlung.mak.at/en/collect/tile_2041	Museum für angewandte Kunst	Vienne	KE 102	https://mak-media.azureedge.net/l/826ef07646bf9672817747c95df55302.jpg
Flacon	Deck, Théodore		Flacon	Grès glaçuré	https://sammlung.mak.at/en/collect/flacon_6676	Museum für angewandte Kunst	Vienne	KE 1007	https://mak-media.azureedge.net/l/1d05d01121b6285f2c24b5921c9fd444.jpg
Plat	Deck, Théodore		Plat	Faïence	https://sammlung.mak.at/en/collect/bowl_6679	Museum für angewandte Kunst	Vienne	KE 409	https://mak-media.azureedge.net/l/c18bb28b5a959143e6876813fa8450f0.jpg
Plat	Deck, Théodore		Plat	Faïence	https://sammlung.mak.at/en/collect/bowl_2317	Museum für angewandte Kunst	Vienne	KE 410	https://sammlung.mak.at/en/collect/bowl_6679
Plat	Joseph-Théodore Deck	v. 1870	Plat	Faïence	https://www.metmuseum.org/art/collection/search/207535	Metropolitan Museum of Art	New York	1985.225	https://images.metmuseum.org/CRDImages/es/original/DT8160.jpg?_gl=1*13z1l8o*_gcl_au*MTM5MTY1ODgyNi4xNzUzNDM0NDU5*_ga*OTczMzYyMTEuMTc0NTYwMTEyNw..*_ga_Y0W8DGNBTB*czE3NTUwMTUzMDEkbzI4JGcwJHQxNzU1MDE1MzAxJGo2MCRsMCRoMA..
Plat	Cantagalli	19e siècle	Plat	Céramique silicieuse	https://www.metmuseum.org/art/collection/search/444874	Metropolitan Museum of Art	New York	02.5.24	https://images.metmuseum.org/CRDImages/is/original/sf02-5-24a.jpg?_gl=1*jrktsa*_gcl_au*MTM5MTY1ODgyNi4xNzUzNDM0NDU5*_ga*OTczMzYyMTEuMTc0NTYwMTEyNw..*_ga_Y0W8DGNBTB*czE3NTUwMTUzMDEkbzI4JGcxJHQxNzU1MDE1MzY4JGo2MCRsMCRoMA..
Plat	Minton	1880	Plat	Porcelaine	https://www.metmuseum.org/art/collection/search/770978	Metropolitan Museum of Art	New York	2018.62.116	https://images.metmuseum.org/CRDImages/es/original/DP-16489-231.jpg?_gl=1*bkwory*_gcl_au*MTM5MTY1ODgyNi4xNzUzNDM0NDU5*_ga*OTczMzYyMTEuMTc0NTYwMTEyNw..*_ga_Y0W8DGNBTB*czE3NTUwMTUzMDEkbzI4JGcxJHQxNzU1MDE1NTQxJGo2MCRsMCRoMA..
Vase	Minton; Christopher Dresser	v. 1867	Vase	Porcelaine	https://www.metmuseum.org/art/collection/search/670804	Metropolitan Museum of Art	New York	2016.178.1	https://images.metmuseum.org/CRDImages/es/original/DP-1687-023.jpg?_gl=1*1pfz7jy*_gcl_au*MTM5MTY1ODgyNi4xNzUzNDM0NDU5*_ga*OTczMzYyMTEuMTc0NTYwMTEyNw..*_ga_Y0W8DGNBTB*czE3NTUwMTUzMDEkbzI4JGcxJHQxNzU1MDE1NjM0JGo2MCRsMCRoMA..
Plat	Zsolnay	v. 1880	Plat	Faïence	https://www.metmuseum.org/art/collection/search/207883	Metropolitan Museum of Art	New York	1990.286.1	https://images.metmuseum.org/CRDImages/es/original/ES5410.jpg?_gl=1*635rx1*_gcl_au*MTM5MTY1ODgyNi4xNzUzNDM0NDU5*_ga*OTczMzYyMTEuMTc0NTYwMTEyNw..*_ga_Y0W8DGNBTB*czE3NTUwMTUzMDEkbzI4JGcxJHQxNzU1MDE1NzQ1JGo2MCRsMCRoMA..
