titre	auteur	date	description	technique	lien	institution	ville	num_inventaire	image_urls	id	mus_id	artistmakerperson	artistmakerorganisations	localisation	system_id	object_id	filenames
Nan	['LACHENAL Edmond (céramiste)']	['1921']	Soucoupe évasée. L'extérieur est couvert d'un émail vert/bleu avec coulures. La lèvre est soulignée de points noirs débordant à l'extérieur et à l'intérieur de la coupe	"[""faïence (tourné, cuisson de dégourdi, glaçure à l'étain, peint, cuisson de grand feu)""]"	https://pop.culture.gouv.fr/notice/joconde/07450027617	musée dobrée	Nantes	927.1.520	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009427.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009428.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009996.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009997.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009998.jpg']	927.1.520						MD_927--1--520	['MD_927--1--520_01.jpg', 'MD_927--1--520_02.jpg', 'MD_927--1--520_03.jpg', 'MD_927--1--520_04.jpg', 'MD_927--1--520_05.jpg']
Plat à la danseuse (titre d'usage)	['Deck Théodore (1823-1891) (céramiste)', 'Ehrmann François Émile (1833-1910) (peintre)']	['1867']	Assiette à fond bleu turquoise. Au centre une femme entourée d'une composition florale aux œillets, feuilles saz et tiges courbes de style Iznik. La danseuse est vêtue d'une jupe aux motifs fleuris et d'un court boléro vert dévoilant sa poitrine. Debout sur un croissant de lune, elle semble danser tout en jouant avec des cymbales à doigts qu'elle tient entre ses mains.	['faïence fine (modelé, cuisson, émail peint)']	https://pop.culture.gouv.fr/notice/joconde/00290100823	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.83 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100823/thd-db-2002-1-83-orcmot.jpg']	THD-DB-2002.1.83 						MTD_THD-DB-2002--1--83	['MTD_THD-DB-2002--1--83_01.jpg']
style Iznik	['Deck Théodore (céramiste)']	['1860', '1870']	Plat rond sur talon à bords chantournés. Décor de style Iznik. Fond bleu foncé orné de bouquets d’œillets, de tulipes et de feuilles saz. Marli au fond bleu clair avec motifs de fleurs.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290101273	musée théodore deck et des pays du florival	Guebwiller	THD-993.3.10 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101273/thd-993-3-10-1pefn2l.jpg']	THD-993.3.10 						MTD_THD-993--3--10	['MTD_THD-993--3--10_01.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	['1870']	Lampe à long col sur monture en bronze. Fond blanc décoré de motifs en frise et en médaillons. Fleurs et rinceaux rouges.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100805	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.113 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1r54i1x.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1yr4gan.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-10nrn1f.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1s7920m.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-2xi883.jpg']	THD-DB-2002.1.113 						MTD_THD-DB-2002--1--113	['MTD_THD-DB-2002--1--113_01.jpg', 'MTD_THD-DB-2002--1--113_02.jpg', 'MTD_THD-DB-2002--1--113_03.jpg', 'MTD_THD-DB-2002--1--113_04.jpg', 'MTD_THD-DB-2002--1--113_05.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	[]	Lampe à long col sur monture en bronze. Tête de bovidé sculptée dans la monture. Fond blanc décoré de motifs en frise. Fleurs et rinceaux bleus. Motifs inspirés de la calligraphie coufique.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100802	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.89 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-4qn5c3.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-yfgkoz.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-1b930pr.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-16w8g76.jpg']	THD-DB-2002.1.89 						MTD_THD-DB-2002--1--89	['MTD_THD-DB-2002--1--89_01.jpg', 'MTD_THD-DB-2002--1--89_02.jpg', 'MTD_THD-DB-2002--1--89_03.jpg', 'MTD_THD-DB-2002--1--89_04.jpg']
Nan	['LACHENAL Edmond (céramiste)']	['1921']	Soucoupe évasée. L'extérieur est couvert d'un émail vert/bleu avec coulures. La lèvre est soulignée de points noirs débordant à l'extérieur et à l'intérieur de la coupe	"[""faïence (tourné, cuisson de dégourdi, glaçure à l'étain, peint, cuisson de grand feu)""]"	https://pop.culture.gouv.fr/notice/joconde/07450027617	musée dobrée	Nantes	927.1.520	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009427.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009428.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009996.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009997.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/07450027617/0009998.jpg']	927.1.520						MD_927--1--520	['MD_927--1--520_01.jpg', 'MD_927--1--520_02.jpg', 'MD_927--1--520_03.jpg', 'MD_927--1--520_04.jpg', 'MD_927--1--520_05.jpg']
Plat à la danseuse (titre d'usage)	['Deck Théodore (1823-1891) (céramiste)', 'Ehrmann François Émile (1833-1910) (peintre)']	['1867']	Assiette à fond bleu turquoise. Au centre une femme entourée d'une composition florale aux œillets, feuilles saz et tiges courbes de style Iznik. La danseuse est vêtue d'une jupe aux motifs fleuris et d'un court boléro vert dévoilant sa poitrine. Debout sur un croissant de lune, elle semble danser tout en jouant avec des cymbales à doigts qu'elle tient entre ses mains.	['faïence fine (modelé, cuisson, émail peint)']	https://pop.culture.gouv.fr/notice/joconde/00290100823	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.83 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100823/thd-db-2002-1-83-orcmot.jpg']	THD-DB-2002.1.83 						MTD_THD-DB-2002--1--83	['MTD_THD-DB-2002--1--83_01.jpg']
style Iznik	['Deck Théodore (céramiste)']	['1860', '1870']	Plat rond sur talon à bords chantournés. Décor de style Iznik. Fond bleu foncé orné de bouquets d’œillets, de tulipes et de feuilles saz. Marli au fond bleu clair avec motifs de fleurs.	['faïence fine (modelé, cuisson, émail peint sous couverte)']	https://pop.culture.gouv.fr/notice/joconde/00290101273	musée théodore deck et des pays du florival	Guebwiller	THD-993.3.10 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290101273/thd-993-3-10-1pefn2l.jpg']	THD-993.3.10 						MTD_THD-993--3--10	['MTD_THD-993--3--10_01.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	['1870']	Lampe à long col sur monture en bronze. Fond blanc décoré de motifs en frise et en médaillons. Fleurs et rinceaux rouges.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100805	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.113 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1r54i1x.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1yr4gan.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-10nrn1f.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-1s7920m.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100805/thd-db-2002-1-113-2xi883.jpg']	THD-DB-2002.1.113 						MTD_THD-DB-2002--1--113	['MTD_THD-DB-2002--1--113_01.jpg', 'MTD_THD-DB-2002--1--113_02.jpg', 'MTD_THD-DB-2002--1--113_03.jpg', 'MTD_THD-DB-2002--1--113_04.jpg', 'MTD_THD-DB-2002--1--113_05.jpg']
Pied de lampe	['Deck Théodore (1823-1891) (céramiste)']	[]	Lampe à long col sur monture en bronze. Tête de bovidé sculptée dans la monture. Fond blanc décoré de motifs en frise. Fleurs et rinceaux bleus. Motifs inspirés de la calligraphie coufique.	['vase : faïence fine (modelé, cuisson, émail modelé en relief)', 'monture : bronze (sculpté, doré)']	https://pop.culture.gouv.fr/notice/joconde/00290100802	musée théodore deck et des pays du florival	Guebwiller	THD-DB-2002.1.89 	['https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-4qn5c3.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-yfgkoz.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-1b930pr.jpg', 'https://pop-perf-assets.s3.gra.io.cloud.ovh.net/joconde/00290100802/thd-db-2002-1-89-16w8g76.jpg']	THD-DB-2002.1.89 						MTD_THD-DB-2002--1--89	['MTD_THD-DB-2002--1--89_01.jpg', 'MTD_THD-DB-2002--1--89_02.jpg', 'MTD_THD-DB-2002--1--89_03.jpg', 'MTD_THD-DB-2002--1--89_04.jpg']
